Word,Rank,Raw Frequency,Raw Range, Normalized Frequency, Normalized Range
the,1,58869,334,86464.99,1.0
of,2,40818,334,59952.24,1.0
and,3,19397,334,28489.72,1.0
to,4,19018,334,27933.06,1.0
in,5,16802,334,24678.27,1.0
a,6,11989,334,17609.08,1.0
is,7,11588,334,17020.1,1.0
that,8,6830,334,10031.7,1.0
for,9,6420,334,9429.5,1.0
be,10,6056,334,8894.87,1.0
this,11,5687,334,8352.89,1.0
on,12,5409,334,7944.57,1.0
it,13,5349,334,7856.45,1.0
as,14,4991,334,7330.63,1.0
are,15,4411,334,6478.74,1.0
will,16,4273,326,6276.05,0.98
with,17,3528,334,5181.82,1.0
by,18,3402,333,4996.75,1.0
which,19,3069,328,4507.65,0.98
research,20,2887,328,4240.34,0.98
study,21,2642,326,3880.49,0.98
an,22,2394,334,3516.23,1.0
not,23,2338,334,3433.98,1.0
s,24,2197,334,3226.89,1.0
can,25,2180,333,3201.92,1.0
analysis,26,2101,317,3085.88,0.95
from,27,1974,330,2899.35,0.99
or,28,1791,334,2630.57,1.0
legal,29,1755,110,2577.69,0.33
there,30,1737,330,2551.25,0.99
system,31,1707,274,2507.19,0.82
their,32,1649,321,2422.0,0.96
have,33,1618,320,2376.47,0.96
also,34,1602,315,2352.97,0.94
data,35,1588,282,2332.41,0.84
russian,36,1576,218,2314.78,0.65
work,37,1541,331,2263.37,0.99
was,38,1514,297,2223.72,0.89
business,39,1462,176,2147.34,0.53
used,40,1447,323,2125.31,0.97
one,41,1442,331,2117.97,0.99
has,42,1437,326,2110.62,0.98
results,43,1420,309,2085.65,0.93
methods,44,1408,297,2068.03,0.89
all,45,1405,333,2063.62,1.0
its,46,1350,322,1982.84,0.96
at,47,1289,334,1893.24,1.0
we,48,1270,334,1865.34,1.0
problem,49,1250,324,1835.96,0.97
such,50,1249,308,1834.49,0.92
more,51,1246,319,1830.09,0.96
process,52,1243,276,1825.68,0.83
about,53,1230,294,1806.59,0.88
company,54,1203,140,1766.93,0.42
these,55,1174,311,1724.34,0.93
other,55,1174,330,1724.34,0.99
method,57,1162,330,1706.71,0.99
they,58,1137,286,1669.99,0.86
law,59,1126,137,1653.83,0.41
main,60,1120,323,1645.02,0.97
development,61,1118,260,1642.08,0.78
most,62,1114,307,1636.21,0.92
model,63,1105,214,1622.99,0.64
but,64,1060,324,1556.9,0.97
market,65,1057,163,1552.49,0.49
different,66,1051,294,1543.68,0.88
should,67,1048,285,1539.27,0.85
some,68,1035,304,1520.18,0.91
i,69,1028,334,1509.9,1.0
use,70,1021,334,1499.61,1.0
between,71,1019,278,1496.68,0.83
management,72,1001,143,1470.24,0.43
time,73,997,297,1464.36,0.89
information,73,997,251,1464.36,0.75
based,75,972,290,1427.64,0.87
only,76,941,301,1382.11,0.9
new,77,925,279,1358.61,0.84
factors,78,866,177,1271.95,0.53
